property_id,locality_name,postal_code,price,property_type,property_subtype,sale_type,num_rooms,living_area_sqm,equipped_kitchen,furnished,open_fire,terrace_sqm,garden_sqm,surface_of_good,num_facades,swimming_pool,building_state
873122,Charleroi,4858,734890,house,penthouse,public,3,63,0,1,1,,144.0,831,4,1,good
594896,Antwerp,2482,288939,house,penthouse,public,9,112,0,1,0,33.0,,422,3,1,good
346772,Antwerp,8356,500227,house,chalet,classic,8,111,0,0,1,,,456,3,0,new
812896,Ghent,3222,621722,apartment,chalet,classic,1,50,0,0,1,,49.0,547,3,0,new
457126,Brussels,7682,149314,house,mansion,classic,1,329,1,0,1,8.0,,89,3,1,to renovate
347495,Brussels,3356,486970,apartment,chalet,public,7,172,1,0,0,46.0,159.0,455,3,1,to renovate
102141,Charleroi,6655,424773,apartment,villa,classic,5,127,0,0,1,50.0,129.0,153,4,0,to renovate
343586,Charleroi,2195,423015,house,chalet,classic,6,299,1,0,1,,23.0,69,4,1,good
785733,Antwerp,5372,268267,house,villa,public,5,108,0,1,0,50.0,,971,3,1,new
486600,Namur,5651,827058,apartment,mansion,public,2,96,1,1,1,,,845,4,1,to renovate
953400,Antwerp,6102,327498,apartment,mansion,public,3,335,0,0,1,7.0,235.0,530,4,1,new
919605,Charleroi,6407,815303,house,bungalow,public,3,240,0,0,0,42.0,,223,2,1,good
984401,Ghent,8771,113176,apartment,villa,classic,9,91,0,0,0,,15.0,679,3,1,good
319672,Liege,3577,132332,apartment,mansion,classic,9,266,0,1,0,7.0,,499,4,1,good
669559,Brussels,3862,559502,apartment,chalet,public,6,334,1,0,1,,60.0,545,3,1,to renovate
805497,Liege,9418,255983,apartment,chalet,public,1,159,0,0,1,,,702,2,0,good
754548,Charleroi,6851,268327,apartment,mansion,public,9,317,0,1,1,16.0,170.0,307,4,1,new
230868,Charleroi,1247,132540,apartment,chalet,classic,7,386,0,0,1,31.0,,899,2,1,good
904365,Liege,2704,948784,apartment,chalet,classic,5,190,1,1,0,,98.0,298,2,0,good
177143,Brussels,1604,761642,house,mansion,public,10,296,1,1,1,,202.0,453,4,1,to renovate
784685,Namur,8564,383365,apartment,villa,public,4,308,1,1,1,,226.0,339,2,1,new
791253,Charleroi,6293,126951,apartment,mansion,classic,7,317,1,0,0,46.0,63.0,626,2,1,good
305223,Namur,6655,316076,house,bungalow,classic,8,119,1,1,0,24.0,64.0,485,3,1,to renovate
543842,Namur,2149,682068,house,chalet,classic,7,46,0,0,0,15.0,,285,4,1,good
863866,Antwerp,1104,179683,apartment,mansion,classic,9,307,0,0,0,,243.0,140,3,1,good
664074,Liege,5495,539410,house,chalet,classic,3,297,1,0,1,43.0,174.0,795,2,1,new
289185,Charleroi,8027,802359,apartment,mansion,classic,4,294,0,0,1,,,108,4,0,new
697200,Ghent,6218,600476,apartment,chalet,public,6,342,1,1,1,,113.0,934,4,1,new
530197,Antwerp,1656,785131,apartment,penthouse,classic,10,189,1,0,0,18.0,,99,4,0,new
349911,Namur,7413,555276,house,bungalow,public,6,375,1,0,0,16.0,,481,4,0,to renovate
